Namespace(filename='tmp.csv')
Sun Jul  1 08:43:17 2018    tmp.csv

         318233 function calls (315963 primitive calls) in 6.239 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       26    0.000    0.000    0.003    0.000 core.py:6374(getdoc)
        1    0.000    0.000    0.003    0.003 lzma.py:9(<module>)
        1    0.000    0.000    0.003    0.003 argparse.py:62(<module>)
      168    0.001    0.000    0.003    0.000 fromnumeric.py:55(_wrapfunc)
        2    0.000    0.000    0.003    0.001 function_base.py:1(<module>)
       19    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1268(_fill_cache)
       19    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1055(_path_hooks)
        1    0.000    0.000    0.002    0.002 util.py:1(<module>)
      727    0.002    0.000    0.002    0.000 sre_parse.py:226(__next)
        1    0.000    0.000    0.002    0.002 ImageDraw.py:220(text)
        1    0.000    0.000    0.002    0.002 accel.py:1(<module>)
      169    0.002    0.000    0.002    0.000 {method 'astype' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.002    0.002 ImageFont.py:149(getmask2)
        1    0.000    0.000    0.002    0.002 fromnumeric.py:3(<module>)
        1    0.000    0.000    0.002    0.002 pickle.py:180(<listcomp>)
        1    0.000    0.000    0.002    0.002 numbers.py:6(<module>)
      170    0.002    0.000    0.002    0.000 {built-in method numpy.core.multiarray.arange}
       19    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.002    0.002 enum.py:1(<module>)
        1    0.000    0.000    0.002    0.002 extras.py:10(<module>)
   137/67    0.002    0.000    0.002    0.000 sre_parse.py:167(getwidth)
      171    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:74(__init__)
      274    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
      101    0.000    0.000    0.002    0.000 re.py:160(match)
      322    0.001    0.000    0.002    0.000 sre_parse.py:157(__getitem__)
       19    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1309(path_hook_for_FileFinder)
     1286    0.002    0.000    0.002    0.000 {method 'rpartition' of 'str' objects}
       75    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x3e5440}
       38    0.001    0.000    0.002    0.000 _inspect.py:142(formatargspec)
      169    0.001    0.000    0.002    0.000 numeric.py:534(asanyarray)
       17    0.000    0.000    0.002    0.000 sre_compile.py:412(_compile_info)
       59    0.001    0.000    0.002    0.000 enum.py:51(__setitem__)
     2053    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
      166    0.001    0.000    0.002    0.000 {built-in method builtins.any}
        1    0.002    0.002    0.002    0.002 {method 'render' of 'Font' objects}
        1    0.000    0.000    0.002    0.002 numerictypes.py:301(_add_aliases)
        1    0.000    0.000    0.002    0.002 ImageDraw.py:33(<module>)
      274    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:52(_r_long)
       43    0.000    0.000    0.001    0.000 _inspect.py:98(getargspec)
        2    0.001    0.001    0.001    0.001 {method 'getsize' of 'Font' objects}
      485    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:852(__enter__)
